
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
Rendering frame with player@['12.623311', '15.836528']
